RUT,NOMBRE,EMAIL,TELEFONO,CARGO,CODIGO,JORNADA
12.345.678-9,JUAN PEREZ GONZALEZ,juan.perez@piping.cl,+56912345678,SOLDADOR,SOL-001,5x2
23.456.789-0,MARIA LOPEZ SILVA,maria.lopez@piping.cl,+56923456789,MAESTRO,MAE-001,5x2
34.567.890-1,PEDRO RODRIGUEZ MARTINEZ,pedro.rodriguez@piping.cl,+56934567890,SOLDADOR,SOL-002,5x2
45.678.901-2,ANA GARCIA FERNANDEZ,ana.garcia@piping.cl,+56945678901,CAPATAZ,CAP-001,5x2
56.789.012-3,CARLOS SANCHEZ RAMIREZ,carlos.sanchez@piping.cl,+56956789012,SOLDADOR,SOL-003,14x14 A
67.890.123-4,LUIS TORRES MORALES,luis.torres@piping.cl,+56967890123,MAESTRO,MAE-002,14x14 A
78.901.234-5,ROSA DIAZ CASTRO,rosa.diaz@piping.cl,+56978901234,SOLDADOR,SOL-004,14x14 A
89.012.345-6,JORGE VARGAS ORTIZ,jorge.vargas@piping.cl,+56989012345,SOLDADOR,SOL-005,14x14 B
90.123.456-7,CLAUDIA ROJAS MUNOZ,claudia.rojas@piping.cl,+56990123456,MAESTRO,MAE-003,14x14 B
11.234.567-8,FRANCISCO HERRERA SOTO,francisco.herrera@piping.cl,+56911234567,SOLDADOR,SOL-006,14x14 B
22.345.678-9,PATRICIA PENA VERA,patricia.pena@piping.cl,+56922345678,SUPERVISOR,SUP-001,5x2
33.456.789-0,ROBERTO CAMPOS LAGOS,roberto.campos@piping.cl,+56933456789,SOLDADOR,SOL-007,5x2
44.567.890-1,CARMEN VEGA BRAVO,carmen.vega@piping.cl,+56944567890,MAESTRO,MAE-004,5x2
55.678.901-2,DIEGO MOLINA ALARCON,diego.molina@piping.cl,+56955678901,SOLDADOR,SOL-008,14x14 A
66.789.012-3,ANDREA NUNEZ PARRA,andrea.nunez@piping.cl,+56966789012,SOLDADOR,SOL-009,14x14 B
